Year,Delta Time (s)
2019 (Pre-Covid),1.029
2019 (Pre-Covid),0.341
2019 (Pre-Covid),1.148
2019 (Pre-Covid),0.835
2019 (Pre-Covid),0.489
2019 (Pre-Covid),1.168
2019 (Pre-Covid),0.391
2019 (Pre-Covid),1.024
2019 (Pre-Covid),0.744
2019 (Pre-Covid),0.365
2019 (Pre-Covid),0.985
2019 (Pre-Covid),0.391
2019 (Pre-Covid),1.031
2019 (Pre-Covid),0.946
2019 (Pre-Covid),1.09
2019 (Pre-Covid),0.711
2019 (Pre-Covid),0.861
2019 (Pre-Covid),0.398
2019 (Pre-Covid),0.855
2019 (Pre-Covid),0.855
2019 (Pre-Covid),0.946
2019 (Pre-Covid),1.004
2019 (Pre-Covid),0.965
2019 (Pre-Covid),1.07
2019 (Pre-Covid),1.057
2019 (Pre-Covid),0.933
2019 (Pre-Covid),0.294
2019 (Pre-Covid),1.031
2019 (Pre-Covid),0.927
2019 (Pre-Covid),1.005
2019 (Pre-Covid),0.261
2019 (Pre-Covid),0.946
2019 (Pre-Covid),0.261
2019 (Pre-Covid),0.978
2019 (Pre-Covid),0.398
2019 (Pre-Covid),0.796
2019 (Pre-Covid),0.894
2019 (Pre-Covid),0.828
2019 (Pre-Covid),0.731
2019 (Pre-Covid),0.854
2019 (Pre-Covid),1.188
2019 (Pre-Covid),0.79
2019 (Pre-Covid),1.24
2019 (Pre-Covid),1.305
2019 (Pre-Covid),0.815
2019 (Pre-Covid),1.167
2019 (Pre-Covid),1.168
2019 (Pre-Covid),0.855
2019 (Pre-Covid),1.449
2019 (Pre-Covid),0.999
2019 (Pre-Covid),1.018
2019 (Pre-Covid),0.919
2019 (Pre-Covid),1.103
2019 (Pre-Covid),1.116
2019 (Pre-Covid),0.887
2019 (Pre-Covid),0.561
2019 (Pre-Covid),0.705
2019 (Pre-Covid),0.927
2019 (Pre-Covid),0.626
2019 (Pre-Covid),0.789
2019 (Pre-Covid),0.646
2019 (Pre-Covid),1.279
2019 (Pre-Covid),0.339
2019 (Pre-Covid),1.194
2019 (Pre-Covid),1.11
2019 (Pre-Covid),1.122
2019 (Pre-Covid),0.307
2019 (Pre-Covid),0.966
2020 (Covid),1.456
2020 (Covid),0.686
2020 (Covid),1.385
2020 (Covid),1.509
2020 (Covid),0.594
2020 (Covid),1.47
2020 (Covid),0.647
2020 (Covid),1.097
2020 (Covid),1.065
2020 (Covid),1.208
2020 (Covid),1.13
2020 (Covid),1.123
2020 (Covid),0.993
2020 (Covid),0.901
2020 (Covid),0.679
2020 (Covid),0.803
2020 (Covid),0.575
2020 (Covid),1.071
2020 (Covid),0.862
2020 (Covid),0.856
2020 (Covid),0.536
2020 (Covid),1.052
2020 (Covid),0.581
2020 (Covid),1.071
2020 (Covid),0.555
2020 (Covid),1.045
2020 (Covid),1.313
2020 (Covid),0.575
2020 (Covid),1.378
2020 (Covid),1.254
2020 (Covid),1.313
2020 (Covid),0.64
2020 (Covid),1.483
2020 (Covid),2.397
2020 (Covid),1.45
2020 (Covid),1.117
2020 (Covid),1.411
2020 (Covid),1.241
2020 (Covid),1.456
2020 (Covid),1.104
2020 (Covid),0.627
2020 (Covid),1.228
2020 (Covid),0.62
2020 (Covid),1.094
2020 (Covid),0.592
2020 (Covid),1.004
2020 (Covid),1.176
2020 (Covid),1.228
2020 (Covid),0.622
2020 (Covid),1.386
2020 (Covid),1.341
2020 (Covid),1.378
2020 (Covid),0.652
2020 (Covid),1.543
2020 (Covid),0.622
2020 (Covid),1.528
2020 (Covid),1.303
2020 (Covid),1.348
2020 (Covid),1.161
2020 (Covid),1.992
2020 (Covid),1.715
2020 (Covid),0.577
2020 (Covid),1.341
2020 (Covid),1.124
2020 (Covid),1.386
2020 (Covid),1.693
2020 (Covid),1.408
2020 (Covid),0.895
2020 (Covid),1.483
2020 (Covid),0.662
2020 (Covid),0.81
2020 (Covid),1.123
2020 (Covid),0.879
2020 (Covid),0.916
2020 (Covid),0.482
2020 (Covid),1.006
2020 (Covid),0.985
2020 (Covid),1.245
2020 (Covid),0.514
2020 (Covid),0.779
2020 (Covid),1.043
2020 (Covid),0.975
2020 (Covid),0.9
2020 (Covid),0.742
2020 (Covid),0.847
2020 (Covid),0.794
2020 (Covid),0.514
2020 (Covid),0.911
2020 (Covid),1.361
2020 (Covid),1.165
2020 (Covid),0.493
2020 (Covid),0.418
2020 (Covid),1.319
2020 (Covid),0.662
2020 (Covid),1.07
2020 (Covid),1.483
2020 (Covid),1.727
2020 (Covid),1.441
2020 (Covid),0.561
2020 (Covid),0.99
2020 (Covid),1.171
2020 (Covid),1.25
2020 (Covid),0.551
2020 (Covid),1.07
2020 (Covid),0.551
2020 (Covid),0.885
2020 (Covid),0.556
2020 (Covid),0.906
2020 (Covid),1.319
2020 (Covid),0.503
2020 (Covid),0.736
2020 (Covid),0.577
2020 (Covid),0.763
2020 (Covid),0.371
2020 (Covid),0.922
2020 (Covid),1.245
2020 (Covid),0.789
2020 (Covid),0.704
2020 (Covid),0.832
2020 (Covid),0.657
2020 (Covid),0.413
2020 (Covid),0.885
2020 (Covid),0.789
2020 (Covid),0.456
2020 (Covid),1.017
2020 (Covid),0.535
2020 (Covid),1.43
2020 (Covid),0.392
2020 (Covid),0.937
2020 (Covid),0.752
2020 (Covid),0.969
2020 (Covid),0.773
2020 (Covid),0.551
2020 (Covid),0.71
2020 (Covid),0.397
2020 (Covid),0.837
2020 (Covid),0.493
2020 (Covid),0.826
2020 (Covid),0.466
2020 (Covid),0.816
2020 (Covid),0.45
2020 (Covid),0.826
2020 (Covid),0.736
2020 (Covid),0.9
2020 (Covid),0.779
2020 (Covid),1.006
2020 (Covid),0.546
2020 (Covid),0.763
2020 (Covid),0.508
2020 (Covid),1.006
2020 (Covid),0.89
2020 (Covid),0.779
2020 (Covid),0.826
2020 (Covid),0.461
2020 (Covid),0.975
2020 (Covid),0.524
2020 (Covid),0.885
2020 (Covid),0.599
2020 (Covid),0.768
2020 (Covid),0.498
2020 (Covid),1.139
2020 (Covid),0.461
2020 (Covid),0.773
2020 (Covid),0.482
2020 (Covid),0.964
2020 (Covid),0.53
2020 (Covid),1.001
2020 (Covid),0.599
2020 (Covid),0.911
2020 (Covid),0.508
2020 (Covid),1.065
2020 (Covid),0.471
2020 (Covid),1.049
2020 (Covid),0.731
2020 (Covid),1.081
2020 (Covid),0.593
2020 (Covid),1.043
2020 (Covid),0.556
2020 (Covid),0.98
2020 (Covid),0.593
2020 (Covid),1.059
2020 (Covid),0.524
2020 (Covid),1.091
2020 (Covid),0.546
2020 (Covid),1.038
2020 (Covid),0.636
2020 (Covid),1.234
2020 (Covid),1.208
2020 (Covid),0.593
2020 (Covid),0.98
2020 (Covid),0.54
2020 (Covid),1.038
2020 (Covid),1.155
2020 (Covid),1.155
2020 (Covid),0.551
2020 (Covid),1.107
2020 (Covid),0.784
2020 (Covid),1.208
2020 (Covid),0.731
2020 (Covid),1.446
2020 (Covid),1.112
2020 (Covid),1.25
2020 (Covid),1.086
2020 (Covid),1.112
2020 (Covid),1.393
2020 (Covid),1.234
2020 (Covid),0.625
2020 (Covid),0.98
2020 (Covid),1.028
2020 (Covid),0.609
2020 (Covid),1.255
2020 (Covid),1.51
2020 (Covid),1.398
2020 (Covid),0.948
2020 (Covid),1.372
2020 (Covid),1.314
2020 (Covid),0.561
2020 (Covid),1.377
2020 (Covid),0.673
2020 (Covid),1.176
2020 (Covid),1.319
2020 (Covid),1.165
2020 (Covid),1.096
2020 (Covid),1.155
2020 (Covid),0.577
2020 (Covid),1.053
2020 (Covid),1.164
2020 (Covid),1.293
2020 (Covid),1.196
2020 (Covid),0.503
2020 (Covid),1.224
2020 (Covid),1.45
2020 (Covid),1.427
2020 (Covid),1.455
2020 (Covid),1.053
2020 (Covid),1.071
2020 (Covid),1.339
2020 (Covid),0.984
2020 (Covid),0.531
2020 (Covid),1.312
2020 (Covid),1.118
2020 (Covid),0.988
2020 (Covid),0.573
2020 (Covid),1.159
2020 (Covid),1.413
2020 (Covid),1.011
2020 (Covid),1.048
2020 (Covid),1.21
2020 (Covid),0.914
2020 (Covid),0.993
2020 (Covid),1.118
2020 (Covid),1.056
2020 (Covid),1.146
2020 (Covid),0.854
2020 (Covid),1.079
2020 (Covid),1.101
2020 (Covid),1.408
2020 (Covid),1.281
2020 (Covid),1.139
2020 (Covid),1.086
2020 (Covid),1.079
2020 (Covid),1.139
2020 (Covid),1.131
2020 (Covid),1.026
2020 (Covid),0.524
2020 (Covid),1.267
2020 (Covid),1.528
2020 (Covid),1.515
2020 (Covid),1.659
2020 (Covid),0.64
2020 (Covid),1.483
2020 (Covid),1.574
2020 (Covid),1.43
2020 (Covid),0.588
2020 (Covid),1.136
2020 (Covid),0.549
2020 (Covid),0.797
2020 (Covid),0.764
2020 (Covid),0.464
2020 (Covid),1.038
2020 (Covid),0.522
2020 (Covid),0.901
2020 (Covid),0.568
2020 (Covid),0.999
2020 (Covid),0.562
2020 (Covid),1.149
2020 (Covid),0.601
2020 (Covid),1.189
2020 (Covid),0.601
2020 (Covid),1.006
2020 (Covid),0.562
2020 (Covid),1.189
2020 (Covid),0.594
2020 (Covid),1.025
2020 (Covid),0.568
2020 (Covid),1.274
2020 (Covid),1.189
2020 (Covid),0.588
2020 (Covid),1.241
2020 (Covid),0.66
2020 (Covid),1.182
2020 (Covid),0.555
2020 (Covid),1.071
2020 (Covid),1.293
2020 (Covid),0.647
2020 (Covid),1.241
2020 (Covid),1.117
2020 (Covid),1.208
2020 (Covid),0.549
2020 (Covid),1.117
2020 (Covid),1.293
2020 (Covid),0.496
2020 (Covid),1.189
2020 (Covid),0.62
2020 (Covid),1.241
2020 (Covid),0.673
2020 (Covid),0.477
2020 (Covid),0.725
2020 (Covid),0.438
2020 (Covid),1.319
2020 (Covid),0.634
2020 (Covid),0.718
2020 (Covid),0.451
2020 (Covid),0.94
2020 (Covid),0.477
2020 (Covid),0.862
2020 (Covid),0.901
2020 (Covid),0.522
2020 (Covid),0.895
2020 (Covid),1.045
2020 (Covid),0.509
2020 (Covid),0.96
2020 (Covid),0.549
2020 (Covid),1.045
2020 (Covid),0.555
2020 (Covid),1.221
2020 (Covid),0.594
2020 (Covid),1.404
2020 (Covid),1.104
2020 (Covid),1.065
2020 (Covid),0.614
2020 (Covid),1.391
2020 (Covid),0.875
2020 (Covid),1.306
2020 (Covid),1.287
2020 (Covid),0.516
2020 (Covid),1.143
2020 (Covid),1.417
2020 (Covid),1.267
2020 (Covid),1.352
2020 (Covid),1.574
2020 (Covid),1.025
2020 (Covid),1.189
2020 (Covid),1.189
2020 (Covid),1.045
2020 (Covid),0.836
2020 (Covid),1.345
2020 (Covid),0.634
2020 (Covid),1.202
2020 (Covid),0.679
2020 (Covid),1.012
2020 (Covid),1.13
2020 (Covid),1.221
2020 (Covid),1.652
2020 (Covid),1.274
2020 (Covid),0.64
2020 (Covid),1.071
2020 (Covid),1.065
2020 (Covid),0.967
2020 (Covid),0.699
2020 (Covid),1.169
2020 (Covid),1.528
2020 (Covid),0.745
2020 (Covid),0.98
2020 (Covid),1.391
2020 (Covid),1.443
2020 (Covid),1.515
2020 (Covid),0.601
2020 (Covid),1.47
2020 (Covid),1.267
2020 (Covid),1.665
2020 (Covid),1.13
2020 (Covid),0.581
2020 (Covid),1.091
2020 (Covid),0.522
2020 (Covid),1.287
2020 (Covid),0.738
2020 (Covid),0.457
2020 (Covid),0.816
2020 (Covid),0.536
2020 (Covid),1.019
2020 (Covid),0.856
2020 (Covid),0.431
2020 (Covid),0.745
2020 (Covid),0.536
2020 (Covid),0.954
2020 (Covid),0.588
2020 (Covid),0.856
2020 (Covid),0.843
2020 (Covid),0.522
2020 (Covid),0.98
2020 (Covid),0.607
2020 (Covid),0.862
2020 (Covid),0.869
2020 (Covid),0.581
2020 (Covid),0.914
2020 (Covid),0.509
2020 (Covid),1.091
2020 (Covid),1.019
2020 (Covid),1.404
2020 (Covid),0.568
2020 (Covid),1.071
2020 (Covid),0.94
2020 (Covid),0.771
2020 (Covid),0.627
2020 (Covid),0.836
2020 (Covid),0.496
2020 (Covid),1.149
2020 (Covid),0.673
2020 (Covid),1.378
2020 (Covid),1.221
2020 (Covid),0.607
2020 (Covid),1.274
2020 (Covid),0.555
2020 (Covid),1.515
2020 (Covid),1.045
2020 (Covid),1.045
2020 (Covid),0.575
2020 (Covid),0.98
2020 (Covid),1.176
2020 (Covid),0.536
2020 (Covid),1.149
2020 (Covid),0.483
2020 (Covid),1.058
2020 (Covid),1.267
2020 (Covid),0.62
2020 (Covid),1.208
2020 (Covid),1.358
2020 (Covid),1.731
2020 (Covid),0.745
2020 (Covid),1.084
2020 (Covid),1.176
2020 (Covid),0.947
2020 (Covid),1.352
2020 (Covid),1.45
2020 (Covid),1.319
2020 (Covid),1.319
2020 (Covid),1.071
2020 (Covid),1.345
2020 (Covid),1.332
2020 (Covid),1.097
2020 (Covid),1.084
2020 (Covid),2.11
2020 (Covid),1.417
2020 (Covid),1.476
2020 (Covid),1.535
2020 (Covid),1.737
2020 (Covid),1.535
2020 (Covid),0.666
2020 (Covid),1.679
2020 (Covid),0.647
2020 (Covid),1.032
2020 (Covid),0.477
2020 (Covid),1.437
2020 (Covid),2.025
2020 (Covid),1.554
2020 (Covid),0.673
2020 (Covid),1.483
2020 (Covid),0.895
2020 (Covid),0.522
2020 (Covid),1.065
2020 (Covid),1.417
2020 (Covid),1.28
